test_text,retrieval_id,cos_sim,cos_distance,label
Madame wanakuaga aje story za sex,154,0.6254188401956732,0.3745811598043268,1
Age gani ni poa kuanza na boy,288,0.5266750963088641,0.4733249036911359,1
Niambie vile nitavibe na boys wa class,435,0.5691850957394636,0.43081490426053637,1
Pregnancy huwa aje?,86,0.5498365268204579,0.4501634731795421,1
Mbona wasichana wananuka privates?,120,0.641078233233156,0.35892176676684395,1
Nitajua aje niko preg?,487,0.30081431006794374,0.6991856899320563,1
"Naogopa kukua na dame, mimi ni gay",204,0.4360748530366507,0.5639251469633493,1
Periods zangu ni za uchungu,543,0.6540818770404649,0.34591812295953506,1
Kunaedaga aje mtu akianza periods,335,0.7852923568413894,0.21470764315861057,1
Mbona nanyonji,228,0.4140736674541817,0.5859263325458183,1
Mtu anaweza abort wapi?,46,0.5113743461189959,0.4886256538810041,1
Mamangu haniskizi juu ya mambo ya madame,313,0.353356837824874,0.6466431621751261,1
Mtu anafanaya aje ndio asinuke nunu?,666,0.7968526986968919,0.2031473013031081,1
Nataka kuwatch porn but pastor anadai sio poa,130,0.564272404316036,0.435727595683964,1
Kumasterbate ni mbaya?,247,0.6623048218187427,0.33769517818125727,1
Sijui niende wapi coz nina ball,531,0.6002259393388497,0.3997740606611503,1
Niko frustrated na depressed,471,0.3355664896521605,0.6644335103478395,1
"Teacher wangu anakikatia, nido?",331,0.5449811547070615,0.45501884529293846,1
"Nataka ku-break up na my boy, nifanye aje?",400,0.4473236951626492,0.5526763048373509,1
Ntajua aje ka my boyfriend ako na dame mwingine,645,0.44381513301371245,0.5561848669862876,1
Nataka kujua wewe ni nani,72,0.5253262331984717,0.4746737668015283,1
"Nilikua married at a young age, saa hii nataka divorce",506,0.6086554766446998,0.39134452335530023,1
Dame yangu ameniwacha,98,0.6318328514963539,0.36816714850364607,1
"Niko in love na a guy in my neighbourhood, nitamwambia aje?",663,0.45822365138102816,0.5417763486189718,1
Sperm inakaa aje?,70,0.5495230161470428,0.4504769838529572,1
Una picha za vagina na penis,228,0.39212168371439143,0.6078783162856085,1
"Nimeambiwa juu ya story za manospere, niende kutafut awapi hawa watu",324,0.29973069397558766,0.7002693060244123,1
"I am heartbroken , nina uchungu mwingi",293,0.4473919215596827,0.5526080784403173,1
"Mzae wangu ni mzii, nafeel stressed",666,0.5120136401178784,0.4879863598821216,1
Wewe ni conman au uko real?,98,0.4879976440179919,0.5120023559820082,1
"Nilikuwa natafuta job huyo mdosi akaniambia anataka tufanye sex kabla anipatie, what do I do?",634,0.5363291815050141,0.4636708184949859,1
STI ni nini?,234,0.5208742206987954,0.4791257793012046,1
"Nataka kuavoid HIV, beshte yangu anayo",267,0.45304736127527595,0.5469526387247241,1
Mna CD za Sare?,639,0.5460647432794222,0.4539352567205778,1
Mna dawa za ukedi?,24,0.6569425955154444,0.3430574044845556,1
Nta avoid kuwa na ball aje?,449,0.5412975556016252,0.4587024443983748,1
P2 ntatoa wapi?,249,0.5461253337210081,0.45387466627899187,1
Ninormal kucheki porno,634,0.6100665179513374,0.3899334820486626,1
"Siwezi beba hii ball, nataka ku-abort",512,0.3107755541803341,0.6892244458196659,1
Natafuta job,377,0.41640717943286876,0.5835928205671312,0
Kuendesha gari nilazima?,212,0.48346262316813726,0.5165373768318627,0
Ninanjaa,232,0.5566269522700823,0.4433730477299177,0
Fuck you,293,0.46004598366444777,0.5399540163355523,0
Mjinga fala stupid,536,0.6247083772795252,0.3752916227204748,0
"Nauza everything, unataka?",400,0.45580839184398947,0.5441916081560105,0
Nyumba huwa how much,154,0.5480360934239875,0.4519639065760125,0
"Life ni hard, wewe unaishi aje?",329,0.6859774790347678,0.3140225209652322,0
"Nataka kustudy, mna scholarships?",109,0.5653105782261081,0.4346894217738919,0
"Nikivaa nguo hainitoshei, mtu huenda market au?",324,0.9999991414253578,8.585746421596596e-07,0
Unafuraha at your job?,515,0.533966301423924,0.466033698576076,0
Tungoje next season,234,0.5382854753719728,0.4617145246280272,0
Niko sure nimekosea kidogo,663,0.5062077578225385,0.49379224217746154,0
There is no stima,283,0.46528634901725585,0.5347136509827441,0
"Mtu anakata miti, climate change itatufikia",111,0.5717086079209217,0.4282913920790783,0
Mko pande gani I visit,645,0.44565037792334805,0.554349622076652,0
