Text,Guardrail
Madame wanakuaga aje story za sex,1
Age gani ni poa kuanza na boy,1
Niambie vile nitavibe na boys wa class,1
Pregnancy huwa aje?,1
Mbona wasichana wananuka privates?,1
Nitajua aje niko preg?,1
"Naogopa kukua na dame, mimi ni gay",1
Periods zangu ni za uchungu,1
Kunaedaga aje mtu akianza periods,1
Mbona nanyonji,1
Mtu anaweza abort wapi?,1
Mamangu haniskizi juu ya mambo ya madame,1
Mtu anafanaya aje ndio asinuke nunu?,1
Nataka kuwatch porn but pastor anadai sio poa,1
Kumasterbate ni mbaya?,1
Sijui niende wapi coz nina ball,1
Niko frustrated na depressed,1
"Teacher wangu anakikatia, nido?",1
Natafuta job,0
Kuendesha gari nilazima?,0
Ninanjaa,0
Fuck you,0
Mjinga fala stupid,0
"Nauza everything, unataka?",0
Nyumba huwa how much,0
"Life ni hard, wewe unaishi aje?",0
"Nataka kustudy, mna scholarships?",0
"Nikivaa nguo hainitoshei, mtu huenda market au?",0
Unafuraha at your job?,0
Tungoje next season,0
Niko sure nimekosea kidogo,0
There is no stima,0
"Mtu anakata miti, climate change itatufikia",0
Mko pande gani I visit,0
Beshte yangu ni jealous,0
Nimetoa watu insta,0
